1,2,3,4,5,6,7,8,9,10,11,12
2459.4,2035.1,1959.8,1733.3,1285,953.5,903.2,906.3,924.8,1278,1894.9,2010.1
381.38,347.362,377.433,294.204,234.655,230.255,258.789,195.625,205.652,238.12,283.437,368.079
1279.051,1172.943,1092.541,881.416,590.599,415.464,393.52,373.607,438.45,704.553,987.937,1128.916
394.533,375.476,312.603,253.029,213.095,151.327,132.471,154.279,161.916,207.803,262.515,339.59
13130.666,11238.43,10149.76,8456.133,6311.638,4273.432,3741.781,3596.963,4193.666,6774.846,10146.488,11612.877
65,70.6,52.6,39.2,25.7,16.8,15.2,20.2,25.6,30.6,43.5,59.2
628.402,448.668,540.101,551.048,403.431,549.26,615.467,583.117,520.749,493.345,512.628,604.735
3419,2523,2848,2693,2406,2436,2486,2432.245,2686.329,2711.1,3474.288,3393.886
6068.591,4649.302,4547.173,3544.711,2561.115,1655.453,1573.423,1364.665,1717.031,2888.06,4908.4,5388.731
313.4,295,321.6,270.6,182.3,131.3,179.7,177.5,173.9,238.6,314.4,354.8
9823,7677.5,7638,6161,4215,4317,4571,3881,4914,5566,7633,9711
183.509,178.833,136.977,79.661,45.803,42.409,53.969,29.707,69.486,75.941,110.108,180.941
321.1,273,226.9,216.3,204,152.3,140.6,109,117.3,162.5,159.6,233.9
101.417,83.134,81.899,68.398,57.59,36.079,36.373,33.082,39.366,60.871,80.727,82.631
1543.542,1330.476,1231.594,953.549,634.348,426.477,445.309,442.221,472.863,948.266,1252.49,1551.927
5846.166,4874.13,4652.755,3856.979,3142.287,2434.313,2283.233,1943.721,2239.08,2713.872,3859.416,5083.39
1249.298,1024.985,1005.607,828.029,568.365,397.566,395.884,394.475,463.227,771.613,1074.348,1169.719
2731.659,2513.831,2395.204,2020.853,1593.402,1332.069,1404.706,1402,1432.164,1862.632,2102.838,2625.271
527.035,386.643,435.485,521.285,439.409,534.458,479.506,449.359,523.579,504.971,510.773,449.873
1650,1458,1472,1039,616,526,513,508,579,956,1209,1543
113.212,97.559,99.389,86.458,66.908,53.66,48.472,47.78,52.308,79.453,94.853,111.515
498.009,613.79,561.104,732.175,449.765,225.91,252.054,343.749,164.871,391.332,546.008,683.839
358.9,359.9,267.9,227.9,101.9,119.895,152.895,142.895,174.895,146.895,110.895,254.895
9997,7994,7803,6464,5490,4625,4238,3775,4140,6832,8696,8911.776
47.5,42.247,45.724,11.904,10.123,17.458,34.819,36.924,37.227,45.761,47.974,50.705
408,347,346,280,157,148,163,169,360,298,362,424
191.7,186.6,165.2,98.3,42.3,29.5,29.8,31.6,37.2,78.1,146.3,175.4
4278,4048,3544,2239,1340,1340,1074,1159,1196,1879,2910,3543
553.688,439.708,500.179,462.687,391.53,371.718,390.76,400.507,383.741,392.314,460.122,467.911
