zone,Name,Percent_e,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
BE,Belgium,0.17,0.07704005402529113,0.008005429817348423,0.0,0.0,0.0,0.0011247601051960837,0.0,0.0,0.0,0.0,0.0023326904621428675,0.01686989554427923
BG,Bulgaria,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,Czechia,0.09,0.0,0.0,0.0,2.1901708439946578e-05,0.0,0.004515770043381959,0.0,0.0,0.0,0.0,0.0,0.0029101700834353694
DE,Germany,0.1,0.0019214303396809444,0.0,0.0,0.0,0.0,0.00307959286965187,0.0,0.0,0.0,0.0,0.0,0.0032682232565001503
EE,Estonia,0.35,0.0,0.0,0.0,0.0,0.001567080262414902,0.0,0.0,0.0,0.0,0.0,0.0,0.0009911812669195265
IE,Ireland,0.51,0.09502178713579663,0.13868652632061632,0.05611496224028026,0.06525202679232223,0.028023628635750718,0.0828414262690883,0.14724356321944243,0.06672066203517553,0.07402531535997177,0.04216779878008697,0.15096458605930319,0.019878284655142575
GR,Greece,0.57,0.0,0.0,0.0,0.00047240594818718124,0.0,6.270182368554706e-05,0.0,0.0,0.0,0.0,0.0,0.0004911997916934994
ES,Spain,0.27,0.0,0.0,0.0,0.0,0.0,0.00014769798973926954,0.0,0.0,0.0,0.0,0.0,0.0007415028557128357
FR,France,0.11,0.011829589855158574,0.0018859994016788343,0.0,0.0,0.0,0.0007204330416127986,0.0,0.0,0.0,0.0,0.0,0.007323865936265917
IT,Italy,0.16,0.0014807715286156379,0.0,0.0,0.0010928394167957444,0.0,0.0001434508162152792,0.0,0.0,0.0,0.0,0.0,0.007328232611981756
HU,Hungary,0.08,0.0,0.0,0.0,0.006285185338070526,0.0,0.0005289219434050309,0.0,0.0,0.0,0.0,0.0,0.003901847455101795
NL,Netherlands,0.21,0.0077178256805574665,0.000748122404572668,0.0,0.0,0.0,0.0011911174025348939,0.0,0.0,0.0,0.0,0.0,0.004900481802737429
AT,Austria,0.13,0.0,0.0,0.0,0.0,0.0,0.0022709030357896836,0.0,0.0,0.0,0.0,0.0,0.0017183986426821624
PT,Portugal,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012070527716834467
RO,Romania,0.11,0.0,0.0,0.0,0.003991809393456764,0.0,0.00024243553459884655,0.0,0.0,0.0,0.0,0.0,0.0025792211197515707
SK,Slovakia,0.07,0.0,0.0,0.0,0.006495389974843487,0.0,0.0016215467810168133,0.0,0.0,0.0,0.0,0.0,0.004661474196390358
FI,Finland,0.06,0.0,0.0,0.0,0.0,0.010761330751368267,0.0,0.0,0.0,0.0,0.0,0.0,0.010122253128061365
GB,UK,0.31,0.6012508457955136,0.6355768734001037,0.5635687438254754,0.5543536894681566,0.3660456169999849,0.5607862004364943,0.6442168446657104,0.4911408401268371,0.5453030585809708,0.2201495747062606,0.4297660365865725,0.2257154258163854
