zone,Name,Percent_e,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
BE,Belgium,0.17,0.0877716075636418,0.0090811129817412,0.0,0.0,0.0,0.0010774504313305446,0.0,0.0,0.0,0.0,0.0030057703662593155,0.022840131737988066
BG,Bulgaria,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,Czechia,0.09,0.0,0.0,0.0,1.9346652136466123e-05,0.0,0.00432475294716618,0.0,0.0,0.0,0.0,0.0,0.002788911535096123
DE,Germany,0.1,0.00028955964204570214,0.0,0.0,0.0,0.0,0.0029510872431886192,0.0,0.0,0.0,0.0,0.0,0.0024947157281540655
EE,Estonia,0.35,0.0,0.0,0.0,0.0,0.0014901242399376212,0.0,0.0,0.0,0.0,0.0,0.0,0.0009442389661054479
IE,Ireland,0.51,0.09135829574208632,0.14172146679469608,0.05723884006570207,0.06879312286199941,0.03366511336020827,0.08404538922602442,0.15049859996212833,0.06850473876406363,0.0800657750153609,0.04614873064050913,0.15688401460741871,0.024441492483741802
GR,Greece,0.57,0.0,0.0,0.0,0.00047188953176716954,0.0,6.231693780379482e-05,0.0,0.0,0.0,0.0,0.0,0.0004908538093179938
ES,Spain,0.27,0.0,0.0,0.0,0.0,0.0,0.00014138512237337714,0.0,0.0,0.0,0.0,0.0,0.0007104800087530948
FR,France,0.11,0.009459618783015673,0.00302735613372267,0.0,0.0,0.0,0.0006899927567308722,0.0,0.0,0.0,0.0,0.0,0.006986728024237554
IT,Italy,0.16,0.0009903164167957895,0.0008385898195243406,0.0,0.0010461118017881406,0.0,0.00013647302951706934,0.0,0.0,0.0,0.0,0.0,0.00788301485050463
HU,Hungary,0.08,0.0,0.0,0.0,0.006021284257782005,0.0,0.0005043756119070641,0.0,0.0,0.0,0.0,0.0,0.0037379641433127548
NL,Netherlands,0.21,0.014739526108092827,0.0012359725277746852,0.0,0.0,0.0,0.001141331458464629,0.0,0.0,0.0,0.0,0.0,0.004804935185431214
AT,Austria,0.13,0.0,0.0,0.0,0.0,0.0,0.00217475370584195,0.0,0.0,0.0,0.0,0.0,0.0016459149359860452
PT,Portugal,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011562559916974855
RO,Romania,0.11,0.0,0.0,0.0,0.0038246246856293207,0.0,0.0002309053804232767,0.0,0.0,0.0,0.0,0.0,0.0024717535739120396
SK,Slovakia,0.07,0.0,0.0,0.0,0.006215863903728418,0.0,0.0015483238809316808,0.0,0.0,0.0,0.0,0.0,0.004463210767488589
FI,Finland,0.06,0.0,0.0,0.0,0.0,0.010301338389622787,0.0,0.0,0.0,0.0,0.0,0.0,0.009693571315373907
GB,UK,0.31,0.5873232883524115,0.6143719970355134,0.5518714283854724,0.55828903064876,0.3680843460231431,0.5671422953697095,0.6509897937266755,0.49468489096522095,0.5414947462600356,0.210050422643016,0.38794975943319043,0.20228049741157694
