zone,Name,Percent_e,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
BE,Belgium,0.17,0.08709019068620501,0.008851775428650724,0.0,0.0,0.0,0.0010776430803352206,0.0,0.0,0.0,0.0,0.0029877147527945956,0.01898003324499143
BG,Bulgaria,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,Czechia,0.09,0.0,0.0,0.0,2.0109082997681953e-05,0.0,0.004326001380582982,0.0,0.0,0.0,0.0,0.0,0.0027889125405304773
DE,Germany,0.1,0.0018698208836026287,0.0,0.0,0.0,0.0,0.0029511752211859284,0.0,0.0,0.0,0.0,0.0,0.0031180793816852053
EE,Estonia,0.35,0.0,0.0,0.0,0.0,0.0014957014888975812,0.0,0.0,0.0,0.0,0.0,0.0,0.0009468709280475045
IE,Ireland,0.51,0.09551466453231186,0.13992585777937006,0.05683144884314256,0.06556509073841696,0.02858610677673128,0.08370702258900566,0.14793096186803972,0.06693382283265799,0.074521385219642,0.04228557554575697,0.15206689088378575,0.020098365875294028
GR,Greece,0.57,0.0,0.0,0.0,0.00047210763442711207,0.0,6.247696447733926e-05,0.0,0.0,0.0,0.0,0.0,0.0004910010560429905
ES,Spain,0.27,0.0,0.0,0.0,0.0,0.0,0.00014145737430898715,0.0,0.0,0.0,0.0,0.0,0.0007105449364964252
FR,France,0.11,0.013870368861318203,0.002721399821469986,0.0,0.0,0.0,0.0006901600687929296,0.0,0.0,0.0,0.0,0.0,0.008391795449219079
IT,Italy,0.16,0.00199009323497857,0.0005095174414015442,0.0,0.0010468110798999143,0.0,0.00013706792247606054,0.0,0.0,0.0,0.0,0.0,0.007987384811145824
HU,Hungary,0.08,0.0,0.0,0.0,0.006022143636438316,0.0,0.0005053722938219245,0.0,0.0,0.0,0.0,0.0,0.0037387322601875046
NL,Netherlands,0.21,0.015017595333341209,0.001404862855907477,0.0,0.0,0.0,0.0011414050835587062,0.0,0.0,0.0,0.0,0.0,0.005842821503129615
AT,Austria,0.13,0.0,0.0,0.0,0.0,0.0,0.002175407990578294,0.0,0.0,0.0,0.0,0.0,0.001972374099908083
PT,Portugal,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001156476907053459
RO,Romania,0.11,0.0,0.0,0.0,0.0038250066003726775,0.0,0.00023153802749151188,0.0,0.0,0.0,0.0,0.0,0.0024717535739120396
SK,Slovakia,0.07,0.0,0.0,0.0,0.00621918852881584,0.0,0.0015502945741461243,0.0,0.0,0.0,0.0,0.0,0.004464826484845329
FI,Finland,0.06,0.0,0.0,0.0,0.0,0.010305847743435816,0.0,0.0,0.0,0.0,0.0,0.0,0.009696450891531433
GB,UK,0.31,0.6045865180803842,0.6379388687706283,0.5658826798947546,0.5579225839928176,0.36950050239998977,0.5642975041919275,0.6462386742845008,0.4931691995711069,0.5479706681832586,0.22176925908512393,0.4318387792112344,0.22718184849684342
