zone,Name,Percent_e,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
BE,Belgium,0.17,0.062166923379591496,0.007654393054686493,0.0,0.0,0.0,0.0011719868229279854,0.0,0.0,0.0,0.0,0.0011407789518179793,0.015481739880551801
BG,Bulgaria,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,Czechia,0.09,0.0,0.0,0.0,2.358916823385403e-05,0.0,0.004705322055308415,0.0,0.0,0.0,0.0,0.0,0.0030314277825950024
DE,Germany,0.1,0.0018384750273904291,0.0,0.0,0.0,0.0,0.0032080963441867526,0.0,0.0,0.0,0.0,0.0,0.003335944412791841
EE,Estonia,0.35,0.0,0.0,0.0,0.0,0.0016398650859832855,0.0,0.0,0.0,0.0,0.0,0.0,0.0010352984513642997
IE,Ireland,0.51,0.09451275176125327,0.13741737755213213,0.055436960831422924,0.06484130767143424,0.027546239769401442,0.08214386114682128,0.14663751853973558,0.06659506861056823,0.07379789415723768,0.042023379935045874,0.14984825853144368,0.019806093592092244
GR,Greece,0.57,0.0,0.0,0.0,0.00047273890350041413,0.0,6.280565770449776e-05,0.0,0.0,0.0,0.0,0.0,0.0004914252421918522
ES,Spain,0.27,0.0,0.0,0.0,0.0,0.0,0.00015397788163672865,0.0,0.0,0.0,0.0,0.0,0.0007724943641952124
FR,France,0.11,0.01065656167906997,0.0011613187546522159,0.0,0.0,0.0,0.0007507807725648568,0.0,0.0,0.0,0.0,0.0,0.006501440243994949
IT,Italy,0.16,0.0009101045715532364,0.0,0.0,0.001139277558814909,0.0,0.0001501939689008648,0.0,0.0,0.0,0.0,0.0,0.0065813773728519865
HU,Hungary,0.08,0.0,0.0,0.0,0.006548191807269441,0.0,0.0005525550084766497,0.0,0.0,0.0,0.0,0.0,0.004064937062282031
NL,Netherlands,0.21,0.004050426451572639,0.0001339317031015415,0.0,0.0,0.0,0.001240889841686843,0.0,0.0,0.0,0.0,0.0,0.004265837358779524
AT,Austria,0.13,0.0,0.0,0.0,0.0,0.0,0.0023667067246400803,0.0,0.0,0.0,0.0,0.0,0.0017905012327643474
PT,Portugal,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012576870110843697
RO,Romania,0.11,0.0,0.0,0.0,0.0041586800803403825,0.0,0.00025361769003483264,0.0,0.0,0.0,0.0,0.0,0.00268668866776894
SK,Slovakia,0.07,0.0,0.0,0.0,0.006770328963118327,0.0,0.001691812981626154,0.0,0.0,0.0,0.0,0.0,0.004857609966335304
FI,Finland,0.06,0.0,0.0,0.0,0.0,0.011215618922179506,0.0,0.0,0.0,0.0,0.0,0.0,0.010547040423819294
GB,UK,0.31,0.5974470811823811,0.6331132613971384,0.5611686917640945,0.5508868567619245,0.3626712269143376,0.5573346731300294,0.6421969446447594,0.48911432575264663,0.5425502685857022,0.2185703389611772,0.42768078869855025,0.22414832960241884
