1,2,3,4,5,6,7,8,9,10,11,12,
0,0,0,0,0,0,0,0,0,0,0,0,
3,2,3,2,2,2,2,2,2,2,1,5,
18,16,19,17,18,17,17,17,17,17,17,19,
277,328,356,337,351,323,317,260,165,135,139,145,
530,478,518,483,487,495,479,456,423,467,453,472,
0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,1,
15,16,14,15,11,11,10,9,8,8,8,8,
8,9,10,10,10,9,9,10,11,12,12,14,
103,91,96,91,92,88,91,88,81,86,81,81,
449,407,435,420,419,393,405,404,377,394,375,373,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
162,140,146,146,148,133,144,140,127,121,145,153,
3633.665,2997.264,3189.413,2604.569,2943.623,2628.808,2555.014,2660.321,2304.168,2717.439,2533.731,2642.035,
78,71,82,78,82,81,84,82,65,88,85,81,
510,462,516,473,411,420,475,483,408,499,492,520,
0,0,0,0,0,0,0,0,0,0,0,0,
912,824,882,829,828,790,805,805,812,791,833,879,
1,1,1,1,1,1,1,1,1,1,0,1,
7,6,6,6,7,6,6,6,6,6,6,5,
0,0,0,0,0,0,0,0,0,0,0,0,
3422,3328,3556,3312,3393,2866,3124,2907,3177,3384,3699,3742.779,
0,0,0,0,0,0,0,0,0,0,0,0,
38,36,39,37,38,36,37,37,35,36,35,36,
0,0,0,0,0,0,0,0,0,0,0,0,
1688,1573,1672,1617,1665,1601,1654,1656,1582,1626,1573,1609,
252,226,248,232,229,223,224,223,164,186,209,212,
