1,2,3,4,5,6,7,8,9,10,11,12
0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5
5.877,4.726,4.741,3.967,4.168,4.035,4.227,4.703,4.627,4.794,4.756,3.73
17.985,15.341,16.884,16.337,16.393,15.732,16.663,15.898,15.32,15.624,16.64,17.258
146.744,131.798,139.277,120.192,135.738,102.667,112.308,105.841,126.895,109.332,126.225,70.524
470,432,429,439,445,415,431,408,269,274,414,448
0,0,0,0,0,0,0,0,0,0,0,0
0.777,0.559,0.644,0.694,0.554,0.506,0.36,0.416,0.565,0.387,0.528,0.49
6,4,6,5,4,1,1,2,6,5,3,4
1.597,1.537,1.621,1.295,1.524,1.017,1.077,0.675,0.252,1.983,2.357,2.414
83.6,78.28,82.105,78,78.6,75.1,76.4,74.5,49.1,73.3,70.6,68.8
364,345,359,328,339,317,332,298,301,312,310,327
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
155,140,149,143,138,134,135,140,136,143,135,137
2785.94,2254.211,2022.561,2231.707,2546.763,1728.886,1457.96,1387.803,1340.372,2022.929,2021.438,2165.553
76.355,70.279,72.907,60.817,63.881,58.677,63.303,62.961,56.117,64.154,62.192,62.333
506.745,476.608,503.56,475.02,401.223,396.34,480.643,475.223,406.397,489.294,482.684,499.143
0,0,0,0,0,0,0,0,0,0,0,0
880,806,852,759,651,621,640,661,735,798,795,819
0.604,0.494,0.494,0.486,0.458,0.433,0.118,0.416,0.41,0.436,0.458,0.527
6.349,5.508,5.573,5.676,5.739,5.004,5.629,5.457,4.79,5.305,5.387,5.452
0,0,0,0,0,0,0,0,0,0,0,0
3675.919,3312.481,3388.839,3509.239,3592.588,3283.528,3358.243,2797.953,2573.465,3344.297,3699,3742.779
0,0,0,0,0,0,0,0,0,0,0,0
36,33,36,34,35,35,35,35,33,34,31,32
0,0,0,0,0,0,0,0,0,0,0,0
1688,1573,1672,1617,1665,1601,1654,1656,1582,1626,1573,1609
203.878,183.445,195.49,185.134,174.133,173.553,169.733,165.056,121.162,149.925,151.245,156.897
