Reduc_Heat,Reduc_Ind,Countries,,Type,Heat,Type,Ind
4,1,Belgium,,1,2,1,2.5
4,1,Bulgaria,,2,4,2,5
4,1,Czechia,,3,6,,
4,1,Denmark,,4,8,,
4,1,Germany,,,,,
4,1,Estonia,,,,,
4,1,Greece,,,,,
4,1,Spain,,,,,
4,1,France,,,,,
4,1,Croatia,,,,,
4,1,Italy,,,,,
4,1,Latvia,,,,,
4,1,Lithuania,,,,,
4,1,Luxembourg,,,,,
4,2,Hungary,,,,,
4,1,Netherlands,,,,,
4,2,Austria,,,,,
4,1,Poland,,,,,
4,1,Portugal,,,,,
4,2,Romania,,,,,
4,1,Slovenia,,,,,
4,1,Slovakia,,,,,
4,2,Finland,,,,,
4,1,UK,,,,,
4,1,North Macedonia,,,,,
4,1,Serbia,,,,,
4,1,Moldova,,,,,
4,1,Ukraine,,,,,
4,1,Ireland,,,,,
