Electricity,CHP,Industry,Households,Commercial
0.17257319,0.115562404,0.399075501,0.198767334,0.114021572
0.022988506,0.379310345,0.505747126,0.045977011,0.045977011
0.091445428,0.200589971,0.348082596,0.230088496,0.12979351
0,0.221052632,0.431578947,0.263157895,0.084210526
0.095381829,0.174464232,0.329912466,0.274675521,0.125565952
0.346153846,0.269230769,0.192307692,0.076923077,0.115384615
0.57,0.1,0.205,0.095,0.03
0.267361111,0.125868056,0.415798611,0.125868056,0.065104167
0.114017438,0.085848424,0.349429913,0.301810865,0.14889336
0,0.32,0.4,0.2,0.08
0.156911582,0.271481943,0.178497302,0.276878373,0.116230801
0,0.631578947,0.105263158,0.131578947,0.131578947
0,0.2,0.675,0.0875,0.0375
0,0.111111111,0.37037037,0.407407407,0.111111111
0.081967213,0.18579235,0.265027322,0.346994536,0.120218579
0.205835962,0.187697161,0.313880126,0.208201893,0.084384858
0.129129129,0.186186186,0.462462462,0.18018018,0.042042042
0,0.221311475,0.493169399,0.219945355,0.06557377
0.394230769,0.245192308,0.264423077,0.057692308,0.038461538
0.105398458,0.185089974,0.331619537,0.29562982,0.082262211
0,0.2,0.633333333,0.133333333,0.033333333
0.071428571,0.159340659,0.423076923,0.263736264,0.082417582
0.06185567,0.443298969,0.474226804,0.010309278,0.010309278
0.30932046,0.038989974,0.132194579,0.399925733,0.119569254
0,0.888888889,0.111111111,0,0
0,0.359550562,0.449438202,0.101123596,0.08988764
0,0.433333333,0.066666667,0.366666667,0.133333333
0.012871287,0.371287129,0.298019802,0.284158416,0.033663366
0.507936508,0.063492063,0.206349206,0.132275132,0.08994709
