Electrical,CHP,Industry,Residential,Commercial
1,1,1,1,1
1,1,1,1,1
0.9,0.99,0.99,0.99,0.99
0.7,0.98,0.99,0.98,0.98
0.5,0.98,0.98,0.98,0.98
0.3,0.98,0.98,0.98,0.98
0.2,0.97,0.97,0.97,0.97
0.1,0.97,0.96,0.97,0.97
0.1,0.97,0.96,0.97,0.97
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
0.1,0.96,0.95,0.96,0.96
