Code,Country,Column3,Shortfall,Shortfall/Demand
1,Belgium,EU 27,0.0,0.0
2,Bulgaria,EU 27,1.4523855242122043,0.16666666666666666
3,Czechia,EU 27,0.0,0.0
4,Denmark,EU 27,0.9183915153791309,0.1059844560732138
5,Germany,EU 27,32.425854443853176,0.11746979338757563
6,Estonia,EU 27,0.0,0.0
7,Greece,EU 27,0.0,0.0
8,Spain,EU 27,0.0,0.0
9,France,EU 27,0.0,0.0
10,Croatia,EU 27,2.2615469328211004,0.3008988430423626
11,Italy,EU 27,0.0,0.0
12,Latvia,EU 27,0.0,0.0
13,Lithuania,EU 27,0.0,0.0
14,Luxembourg,EU 27,0.0,0.0
15,Hungary,EU 27,0.0,0.0
16,Netherlands,EU 27,0.0,0.0
17,Austria,EU 27,0.0,0.0
18,Poland,EU 27,0.0,0.0
19,Portugal,EU 27,0.0,0.0
20,Romania,EU 27,0.0,0.0
21,Slovenia,EU 27,1.8528180288693916,0.9999999999999996
22,Slovakia,EU 27,10.228800862640822,0.9999999999999996
23,Finland,EU 27,0.13546909934892026,0.026821787369840002
24,UK,NonEU,0.0,0.0
25,North Macedonia,NonEU,0.0,0.0
26,Serbia,NonEU,1.684531268319209,0.17431128787609798
27,Moldova,NonEU,0.36403992126317997,0.08820448140056222
28,Ukraine,NonEU,0.0,0.0
29,Ireland,EU 27,0.0,0.0
