Code,Country,Shortfall,Shortfall/Demand,Excess
1,Belgium,0.0,0.0,0.0
2,Bulgaria,0.0,0.0,0.0
3,Czechia,0.0,0.0,0.0
4,Denmark,0.0,0.0,0.0
5,Germany,0.0,0.0,0.0
6,Estonia,0.0,0.0,0.0
7,Greece,0.0,0.0,0.0
8,Spain,0.0,0.0,0.0
9,France,0.0,0.0,0.0
10,Croatia,0.0,0.0,0.0
11,Italy,0.0,0.0,0.0
12,Latvia,0.29368772602973,0.16666666666666666,0.0
13,Lithuania,0.242123964813,0.08404665842034414,0.0
14,Luxembourg,0.0,0.0,0.0
15,Hungary,2.210481057491696,0.16666666666666663,0.0
16,Netherlands,0.0,0.0,0.0
17,Austria,0.0,0.0,0.0
18,Poland,0.0,0.0,0.0
19,Portugal,0.0,0.0,0.0
20,Romania,3.477974291598,0.24999999999999994,0.0
21,Slovenia,0.0,0.0,0.0
22,Slovakia,0.0,0.0,0.0
23,Finland,1.1246285508505571,0.41192911702238083,0.0
24,UK,0.0,0.0,0.0
25,North Macedonia,0.0,0.0,0.0
26,Serbia,0.0,0.0,0.0
27,Moldova,0.49303873913472,0.31546523874165966,0.0
28,Ukraine,16.079905199400415,0.6476251969751471,0.0
29,Ireland,0.0,0.0,0.0
