Case,LNG,Demand,Shortfall,StorageShort10,StorageShort22,Imports,DomEmissions2223,DomEmissions2324,UpEmissions2223,UpEmissions2324,EmissionsTot,Elec22,Ind22,CHP22,Residential22,Commercial22,Elec23,Ind23,CHP23,Residential23,Commercial23,OverallDR
Base_0,247.99999999999977,932.134314111827,57.644551562233225,0.00949175215633672,1.4508745934900684,653.912283539946,875.3779605808962,837.9385728900021,209.5851552545186,178.8875491656988,2101.7892378911165,82.46920814009577,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,93.95841942038159,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.026174608210830497
Base_10,248.0,914.4072128744953,45.41551872402761,0.0,0.0,648.41421514082,866.7653980256408,835.386180158189,208.58415592269674,178.5950830157394,2089.3308171222666,73.22240130997733,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,85.47812501316854,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.04469458011442817
Base_20,240.07843202274387,894.6142662174759,34.722832243686305,0.0,0.0,639.3139549641419,853.2425398339069,830.2599801104294,201.42783075456035,178.00769692377813,2062.9380476226756,64.50933986835672,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,74.39823979776955,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.06537279541143663
Base_30,239.78748859297153,875.4231816015201,20.37784096106147,0.0,0.0,634.4678616308099,847.325870936485,826.3281118739362,200.71295829107848,177.231831899744,2051.5987730012425,56.53254814365466,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,61.66160086205024,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.08542222950270342
Base_40,230.71802822781746,855.9395156178405,8.918637011125444,0.0,0.0,626.443399597067,839.0174622023734,818.1477283375672,196.22915755999114,173.42859684164296,2026.8229449415737,49.04878435066467,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,51.18404471582623,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.10577733109353459
Base_50,228.01236602854013,838.6595796914286,0.4795544202491303,0.0,0.0,617.6025462615311,828.1590053003266,810.9855522022012,191.90966254850028,172.70497441817065,2003.759194469197,41.75114213519294,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,41.20175100488574,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.12383013756023323
Base_60,224.21830130952256,822.0015136425784,0.47725081533197056,0.0,0.0,600.9467838175983,803.4617169966383,801.6915183859621,179.36367321757461,168.7964297283625,1953.3133383285372,33.539291764137516,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,30.572609574440527,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.14123326010478782
Base_70,209.32711352090095,799.0857131378923,0.47435987513322586,0.0,0.0,578.0338742531109,774.2581050814587,784.0010590943061,165.3569004769574,161.57097986349564,1885.187044516216,24.582782131932248,137.76456376448334,77.63671028360532,116.77970402367367,47.320875067518735,18.302997212949904,137.16930549326437,77.56882754506528,114.90464647670426,46.56205389703454,-0.16517400347920191
Deep_0,248.00000000000003,923.433090469166,56.18505218806323,0.0,1.5972703843725358,646.6705592714562,868.0780887137693,830.5341952590703,208.8982405220733,178.03911789116452,2085.5496423860777,80.52464056860295,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,91.28588378199422,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.03526500687395935
Deep_10,245.37192936965306,905.402880657628,44.709935020458424,0.0,0.0,640.1154666275223,855.6094167589713,829.6330607383967,205.3132764157759,177.93192933315183,2068.487683246296,73.42042424560259,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,81.24509674829355,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.05410164432839356
Deep_20,238.12050778835277,888.3850736384838,33.82555237979051,0.0,0.0,634.5724033157179,847.92939962467,825.9009556567091,199.24609936025556,177.50821771602597,2050.5846723576606,64.79344645071377,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,72.0944709193031,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.07188059778704871
Deep_30,232.5155127926529,870.1319786452195,21.507832216758054,0.0,0.0,628.046667418814,845.5502339740742,814.9119333497896,199.2125568033264,172.0378289341532,2031.712553061342,55.342935590511146,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,63.16647693613917,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.09095008929066208
Deep_40,227.12425629213195,849.4337106998528,8.569012588346295,0.0,0.0,620.2872191018597,835.7817194190857,808.8083364226228,195.97085989082782,169.66701049904384,2010.2279262315778,47.09133085733019,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,50.8452235740556,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.11257411770169433
Deep_50,221.74219437605572,829.0079047435564,0.42200500156804666,0.0,0.0,608.0084207323409,816.5537835987117,802.9507364336364,185.87095335648365,168.76372855299246,1974.139201941822,39.45601178697756,137.76456376448334,75.19631840003669,116.77970402367367,47.320875067518735,39.23519441070888,137.16930549326437,74.40275295138913,114.90464647670426,46.56205389703454,-0.13391349786060894
